Field change time,Message,Device,Availability Period
2025-03-31 21:29:06.250,Remote unit state changed from Online to Connecting.,S1-VSP-0025,มี.ค. 2025
2025-03-31 21:26:47.830,Remote unit state changed from Initializing to Online.,S1-VSP-0025,มี.ค. 2025
2025-03-31 21:26:45.767,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,มี.ค. 2025
2025-03-31 21:26:38.701,Remote unit state changed from Online to Connecting.,S1-VSP-0025,มี.ค. 2025
2025-03-31 21:23:51.831,Remote unit state changed from Initializing to Online.,S1-VSP-0025,มี.ค. 2025
2025-03-31 21:23:49.874,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,มี.ค. 2025
2025-03-31 21:23:43.755,Remote unit state changed from Online to Connecting.,S1-VSP-0025,มี.ค. 2025
2025-03-31 21:22:13.887,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0029,มี.ค. 2025
2025-03-31 21:19:34.061,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0029,มี.ค. 2025
2025-03-31 21:17:08.614,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0021,มี.ค. 2025
2025-03-31 21:17:03.578,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0021,มี.ค. 2025
2025-03-31 21:12:42.965,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0028,มี.ค. 2025
2025-03-31 21:12:42.011,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0028,มี.ค. 2025
2025-03-31 21:07:05.342,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0021,มี.ค. 2025
2025-03-31 21:07:04.239,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0021,มี.ค. 2025
2025-03-31 21:01:49.821,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0021,มี.ค. 2025
2025-03-31 20:59:34.449,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0021,มี.ค. 2025
2025-03-31 20:52:00.402,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:51:45.136,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0025,มี.ค. 2025
2025-03-31 20:51:44.177,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0025,มี.ค. 2025
2025-03-31 20:51:02.353,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:50:31.828,Remote unit state changed from Initializing to Online.,S1-VSP-0025,มี.ค. 2025
2025-03-31 20:50:26.723,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,มี.ค. 2025
2025-03-31 20:50:13.398,Remote unit state changed from Online to Connecting.,S1-VSP-0025,มี.ค. 2025
2025-03-31 20:49:43.848,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0026,มี.ค. 2025
2025-03-31 20:49:03.091,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0026,มี.ค. 2025
2025-03-31 20:48:26.515,Remote unit state changed from Initializing to Online.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:48:14.360,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:48:02.075,Remote unit state changed from Initializing to Connecting.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:47:36.724,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:47:23.481,Remote unit state changed from Online to Connecting.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:39:24.964,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0021,มี.ค. 2025
2025-03-31 20:38:54.424,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0021,มี.ค. 2025
